date,employed
Feb-1978,5997.5
Mar-1978,6003.0
Apr-1978,6030.7
May-1978,6033.2
Jun-1978,6033.9
Jul-1978,6030.5
Aug-1978,6036.4
Sep-1978,6030.8
Oct-1978,6035.9
Nov-1978,6028.2
Dec-1978,6053.2
Jan-1979,6051.2
Feb-1979,6063.5
Mar-1979,6055.6
Apr-1979,6064.6
May-1979,6070.3
Jun-1979,6099.4
Jul-1979,6097.5
Aug-1979,6114.8
Sep-1979,6116.9
Oct-1979,6152.1
Nov-1979,6180.5
Dec-1979,6184.0
Jan-1980,6204.0
Feb-1980,6221.9
Mar-1980,6232.9
Apr-1980,6246.9
May-1980,6268.0
Jun-1980,6275.5
Jul-1980,6306.6
Aug-1980,6315.7
Sep-1980,6317.8
Oct-1980,6307.0
Nov-1980,6328.6
Dec-1980,6351.5
Jan-1981,6357.4
Feb-1981,6372.9
Mar-1981,6376.6
Apr-1981,6404.0
May-1981,6405.2
Jun-1981,6420.9
Jul-1981,6418.5
Aug-1981,6434.5
Sep-1981,6459.4
Oct-1981,6429.9
Nov-1981,6416.9
Dec-1981,6430.1
Jan-1982,6469.0
Feb-1982,6450.4
Mar-1982,6443.2
Apr-1982,6456.0
May-1982,6432.9
Jun-1982,6420.9
Jul-1982,6419.9
Aug-1982,6416.5
Sep-1982,6400.9
Oct-1982,6402.9
Nov-1982,6345.7
Dec-1982,6295.6
Jan-1983,6296.4
Feb-1983,6289.5
Mar-1983,6255.8
Apr-1983,6232.9
May-1983,6263.9
Jun-1983,6271.2
Jul-1983,6276.9
Aug-1983,6283.1
Sep-1983,6316.8
Oct-1983,6317.3
Nov-1983,6354.3
Dec-1983,6379.1
Jan-1984,6379.8
Feb-1984,6392.2
Mar-1984,6447.7
Apr-1984,6454.1
May-1984,6479.6
Jun-1984,6501.7
Jul-1984,6510.8
Aug-1984,6508.1
Sep-1984,6538.1
Oct-1984,6534.8
Nov-1984,6550.1
Dec-1984,6553.8
Jan-1985,6561.7
Feb-1985,6626.2
Mar-1985,6601.1
Apr-1985,6611.5
May-1985,6646.3
Jun-1985,6660.2
Jul-1985,6685.6
Aug-1985,6727.5
Sep-1985,6771.8
Oct-1985,6756.3
Nov-1985,6855.3
Dec-1985,6822.7
Jan-1986,6869.5
Feb-1986,6892.3
Mar-1986,6902.7
Apr-1986,6971.4
May-1986,6965.1
Jun-1986,7005.4
Jul-1986,6987.5
Aug-1986,6969.3
Sep-1986,6994.4
Oct-1986,7018.9
Nov-1986,7008.1
Dec-1986,7024.6
Jan-1987,7025.0
Feb-1987,7056.7
Mar-1987,7070.3
Apr-1987,7084.6
May-1987,7089.8
Jun-1987,7125.5
Jul-1987,7171.2
Aug-1987,7149.8
Sep-1987,7137.6
Oct-1987,7167.2
Nov-1987,7157.3
Dec-1987,7234.9
Jan-1988,7296.6
Feb-1988,7282.1
Mar-1988,7329.8
Apr-1988,7359.9
May-1988,7343.1
Jun-1988,7360.8
Jul-1988,7378.0
Aug-1988,7408.7
Sep-1988,7451.2
Oct-1988,7466.5
Nov-1988,7487.8
Dec-1988,7521.6
Jan-1989,7554.8
Feb-1989,7605.4
Mar-1989,7624.2
Apr-1989,7655.7
May-1989,7711.2
Jun-1989,7710.7
Jul-1989,7735.4
Aug-1989,7774.9
Sep-1989,7783.7
Oct-1989,7792.1
Nov-1989,7844.7
Dec-1989,7830.0
Jan-1990,7841.7
Feb-1990,7846.6
Mar-1990,7861.5
Apr-1990,7866.1
May-1990,7899.5
Jun-1990,7900.2
Jul-1990,7898.3
Aug-1990,7869.4
Sep-1990,7844.2
Oct-1990,7829.8
Nov-1990,7810.0
Dec-1990,7813.1
Jan-1991,7744.8
Feb-1991,7758.2
Mar-1991,7701.7
Apr-1991,7696.0
May-1991,7693.9
Jun-1991,7659.0
Jul-1991,7630.7
Aug-1991,7635.4
Sep-1991,7645.3
Oct-1991,7616.3
Nov-1991,7597.2
Dec-1991,7617.1
Jan-1992,7631.3
Feb-1992,7650.3
Mar-1992,7631.2
Apr-1992,7624.5
May-1992,7620.9
Jun-1992,7633.6
Jul-1992,7651.3
Aug-1992,7671.3
Sep-1992,7635.2
Oct-1992,7644.4
Nov-1992,7569.5
Dec-1992,7599.7
Jan-1993,7650.8
Feb-1993,7582.1
Mar-1993,7631.6
Apr-1993,7612.6
May-1993,7613.2
Jun-1993,7626.2
Jul-1993,7628.2
Aug-1993,7651.9
Sep-1993,7670.3
Oct-1993,7719.3
Nov-1993,7729.9
Dec-1993,7745.6
Jan-1994,7766.1
Feb-1994,7789.8
Mar-1994,7808.9
Apr-1994,7811.7
May-1994,7853.4
Jun-1994,7875.5
Jul-1994,7948.3
Aug-1994,7932.7
Sep-1994,7981.4
Oct-1994,7978.5
Nov-1994,7990.2
Dec-1994,8034.3
Jan-1995,8049.9
Feb-1995,8099.0
Mar-1995,8102.3
Apr-1995,8160.0
May-1995,8166.1
Jun-1995,8201.1
Jul-1995,8207.7
Aug-1995,8236.9
Sep-1995,8224.4
Oct-1995,8214.3
Nov-1995,8288.2
Dec-1995,8289.6
Jan-1996,8290.8
Feb-1996,8292.9
Mar-1996,8266.4
Apr-1996,8296.5
May-1996,8301.6
Jun-1996,8305.4
Jul-1996,8307.5
Aug-1996,8302.3
Sep-1996,8295.7
Oct-1996,8301.8
Nov-1996,8300.9
Dec-1996,8324.4
Jan-1997,8333.8
Feb-1997,8335.0
Mar-1997,8338.1
Apr-1997,8330.9
May-1997,8335.0
Jun-1997,8336.2
Jul-1997,8347.1
Aug-1997,8333.7
Sep-1997,8395.9
Oct-1997,8389.0
Nov-1997,8447.4
Dec-1997,8432.9
Jan-1998,8439.3
Feb-1998,8453.3
Mar-1998,8456.4
Apr-1998,8488.7
May-1998,8486.7
Jun-1998,8506.7
Jul-1998,8519.0
Aug-1998,8531.3
Sep-1998,8575.0
Oct-1998,8585.5
Nov-1998,8564.5
Dec-1998,8586.1
Jan-1999,8586.5
Feb-1999,8594.4
Mar-1999,8621.1
Apr-1999,8622.8
May-1999,8610.8
Jun-1999,8662.0
Jul-1999,8680.1
Aug-1999,8688.2
Sep-1999,8701.5
Oct-1999,8741.6
Nov-1999,8751.6
Dec-1999,8785.9
Jan-2000,8739.5
Feb-2000,8789.1
Mar-2000,8837.2
Apr-2000,8874.1
May-2000,8870.0
Jun-2000,8910.0
Jul-2000,8992.1
Aug-2000,8989.1
Sep-2000,8985.5
Oct-2000,8960.5
Nov-2000,8903.2
Dec-2000,8944.5
Jan-2001,8957.1
Feb-2001,8954.2
Mar-2001,8964.1
Apr-2001,9015.0
May-2001,9008.0
Jun-2001,9004.5
Jul-2001,9024.7
Aug-2001,9047.1
Sep-2001,9026.8
Oct-2001,9046.1
Nov-2001,9078.6
Dec-2001,9065.1
Jan-2002,9084.1
Feb-2002,9127.0
Mar-2002,9132.5
Apr-2002,9119.8
May-2002,9135.1
Jun-2002,9160.7
Jul-2002,9167.5
Aug-2002,9224.2
Sep-2002,9225.8
Oct-2002,9234.8
Nov-2002,9284.1
Dec-2002,9327.8
Jan-2003,9379.3
Feb-2003,9406.2
Mar-2003,9359.9
Apr-2003,9358.1
May-2003,9375.5
Jun-2003,9351.7
Jul-2003,9343.6
Aug-2003,9400.2
Sep-2003,9408.5
Oct-2003,9432.2
Nov-2003,9428.4
Dec-2003,9460.2
Jan-2004,9461.0
Feb-2004,9465.7
Mar-2004,9499.0
Apr-2004,9509.0
May-2004,9524.7
Jun-2004,9529.3
Jul-2004,9538.3
Aug-2004,9535.0
Sep-2004,9591.5
Oct-2004,9645.7
Nov-2004,9683.6
Dec-2004,9692.6
Jan-2005,9745.1
Feb-2005,9775.3
Mar-2005,9816.4
Apr-2005,9855.3
May-2005,9839.1
Jun-2005,9885.3
Jul-2005,9900.6
Aug-2005,9944.2
Sep-2005,9928.3
Oct-2005,9933.0
Nov-2005,9942.5
Dec-2005,9957.5
Jan-2006,9957.7
Feb-2006,9993.2
Mar-2006,10034.3
Apr-2006,10041.6
May-2006,10069.3
Jun-2006,10109.2
Jul-2006,10161.2
Aug-2006,10179.1
Sep-2006,10223.4
Oct-2006,10195.8
Nov-2006,10229.7
Dec-2006,10282.5
Jan-2007,10279.3
Feb-2007,10308.3
Mar-2007,10337.0
Apr-2007,10366.2
May-2007,10401.7
Jun-2007,10424.3
Jul-2007,10447.0
Aug-2007,10484.4
Sep-2007,10513.8
Oct-2007,10504.3
Nov-2007,10561.6
Dec-2007,10582.4
Jan-2008,10610.4
Feb-2008,10649.4
Mar-2008,10669.9
Apr-2008,10708.5
May-2008,10680.1
Jun-2008,10733.4
Jul-2008,10751.4
Aug-2008,10793.5
Sep-2008,10778.0
Oct-2008,10787.6
Nov-2008,10781.0
Dec-2008,10789.3
Jan-2009,10791.3
Feb-2009,10804.9
Mar-2009,10770.8
Apr-2009,10794.4
May-2009,10772.7
Jun-2009,10755.2
Jul-2009,10799.4
Aug-2009,10789.5
Sep-2009,10810.3
Oct-2009,10820.7
Nov-2009,10850.8
Dec-2009,10887.5
Jan-2010,10937.2
Feb-2010,10920.7
Mar-2010,10925.8
Apr-2010,10937.4
May-2010,10938.9
Jun-2010,10992.8
Jul-2010,11019.1
Aug-2010,11061.0
Sep-2010,11087.6
Oct-2010,11104.6
Nov-2010,11163.1
Dec-2010,11169.4
Jan-2011,11201.9
Feb-2011,11176.3
Mar-2011,11215.3
Apr-2011,11182.2
May-2011,11172.8
Jun-2011,11205.6
Jul-2011,11209.8
Aug-2011,11218.9
Sep-2011,11246.3
Oct-2011,11249.4
Nov-2011,11252.7
Dec-2011,11231.6
Jan-2012,11308.4
Feb-2012,11272.1
Mar-2012,11333.4
Apr-2012,11321.7
May-2012,11364.1
Jun-2012,11338.5
Jul-2012,11348.7
Aug-2012,11361.1
Sep-2012,11390.4
Oct-2012,11391.2
Nov-2012,11385.0
Dec-2012,11396.4
Jan-2013,11469.3
Feb-2013,11469.0
Mar-2013,11435.0
Apr-2013,11466.9
May-2013,11457.7
Jun-2013,11470.1
Jul-2013,11457.4
Aug-2013,11460.0
Sep-2013,11474.6
Oct-2013,11470.8
Nov-2013,11449.1
Dec-2013,11418.4
Jan-2014,11454.9
Feb-2014,11480.2
Mar-2014,11532.0
Apr-2014,11537.4
May-2014,11512.8
Jun-2014,11528.6
Jul-2014,11544.9
Aug-2014,11548.8
Sep-2014,11547.0
Oct-2014,11542.6
Nov-2014,11542.5
Dec-2014,11597.6
Jan-2015,11610.2
Feb-2015,11672.5
Mar-2015,11693.3
Apr-2015,11691.5
May-2015,11733.3
Jun-2015,11727.3
Jul-2015,11759.9
Aug-2015,11764.3
Sep-2015,11783.9
Oct-2015,11861.0
Nov-2015,11894.1
Dec-2015,11906.2
Jan-2016,11915.2
Feb-2016,11925.2
Mar-2016,11941.3
Apr-2016,11947.3
May-2016,11941.3
Jun-2016,11962.9
Jul-2016,11994.4
Aug-2016,11954.6
Sep-2016,11941.4
Oct-2016,11960.3
Nov-2016,11987.2
Dec-2016,12015.1
Jan-2017,12042.5
Feb-2017,12013.9
Mar-2017,12074.8
Apr-2017,12131.5
May-2017,12164.3
Jun-2017,12197.5
Jul-2017,12231.9
Aug-2017,12285.1
Sep-2017,12324.5
Oct-2017,12328.1
Nov-2017,12371.6
Dec-2017,12397.6
Jan-2018,12444.5
Feb-2018,12421.9
Mar-2018,12442.6
Apr-2018,12459.6
May-2018,12453.0
Jun-2018,12523.4
Jul-2018,12517.4
Aug-2018,12586.8
Sep-2018,12601.7
Oct-2018,12625.7
Nov-2018,12647.5
Dec-2018,12667.4
Jan-2019,12724.5
Feb-2019,12723.4
Mar-2019,12747.3
Apr-2019,12781.7
May-2019,12791.3
Jun-2019,12805.0
Jul-2019,12831.2
Aug-2019,12883.4
Sep-2019,12903.2
Oct-2019,12853.8
Nov-2019,12879.2
Dec-2019,12920.7
Jan-2020,12942.6
Feb-2020,12928.3
Mar-2020,12924.8
Apr-2020,12341.4
May-2020,12050.3
Jun-2020,12280.7
Jul-2020,12410.7
Aug-2020,12551.3
Sep-2020,12519.7
Oct-2020,12657.8
Nov-2020,12749.1
Dec-2020,12794.1
Jan-2021,12842.9
Feb-2021,12889.5
Mar-2021,12955.3
Apr-2021,12941.8
May-2021,13035.5
Jun-2021,13060.8
Jul-2021,13079.7
Aug-2021,12947.9
Sep-2021,12826.7
Oct-2021,12776.4
Nov-2021,13149.9
Dec-2021,13229.4
Jan-2022,13287.7
Feb-2022,13369.9
Mar-2022,13391.6
Apr-2022,13440.4
May-2022,13479.6
Jun-2022,13580.9
Jul-2022,13584.6
Aug-2022,13651.1
Sep-2022,13667.4
Oct-2022,13704.5
Nov-2022,13780.9
Dec-2022,13766.0
Jan-2023,13788.3
Feb-2023,13830.3
Mar-2023,13923.0
Apr-2023,13907.6
May-2023,13995.3
Jun-2023,14015.9
Jul-2023,14012.3
Aug-2023,14074.4
Sep-2023,14084.7
Oct-2023,14139.7
Nov-2023,14200.0
Dec-2023,14137.6
Jan-2024,14148.9
Feb-2024,14266.5
Mar-2024,14259.9
